Function,FunctionID,Algorithm,Run,Seed,BestFitness,Fopt,BestError,RestartCount,RestartedParticlesTotal,Runtime,FEs
F27,27,ARPSO-EIS,28,22965457,2733.005773898222,2700.0,33.00577389822183,2237,14250,300.9559268951416,300000
F27,27,ARPSO-EIS,29,22965458,2710.728429838201,2700.0,10.72842983820101,2210,14081,297.0508279800415,300000
F27,27,ARPSO-EIS,30,22965459,3174.735057641355,2700.0,474.73505764135507,2148,13950,298.11613368988037,300000
F28,28,PSO-RS,1,23060430,173420.6729416852,2800.0,170620.6729416852,1395,9642,436.3178195953369,300000
F28,28,PSO-RS,2,23060431,10451.90866811706,2800.0,7651.908668117059,1230,8077,435.77672696113586,300000
F28,28,PSO-RS,3,23060432,85127.36485792413,2800.0,82327.36485792413,1471,10004,437.1519150733948,300000
F28,28,PSO-RS,4,23060433,10342.39513390364,2800.0,7542.395133903639,1235,8031,441.55595231056213,300000
F28,28,PSO-RS,5,23060434,107760.85675519887,2800.0,104960.85675519887,1341,9000,435.4659550189972,300000
F28,28,PSO-RS,6,23060435,26831.17895182,2800.0,24031.17895182,1278,8272,436.1178331375122,300000
F28,28,PSO-RS,7,23060436,81620.50617457388,2800.0,78820.50617457388,1566,10760,436.00425386428833,300000
F28,28,PSO-RS,8,23060437,16481.635228310326,2800.0,13681.635228310326,1252,8293,435.86589789390564,300000
F28,28,PSO-RS,9,23060438,8438.66519591451,2800.0,5638.665195914509,1232,7991,434.80123114585876,300000
F28,28,PSO-RS,10,23060439,17597.436662994653,2800.0,14797.436662994653,1360,8937,434.63568806648254,300000
F28,28,PSO-RS,11,23060440,66213.39945160059,2800.0,63413.39945160059,1483,10058,437.58544158935547,300000
F28,28,PSO-RS,12,23060441,10420.264109142205,2800.0,7620.264109142205,1190,7607,439.80186557769775,300000
F28,28,PSO-RS,13,23060442,10239.037563018544,2800.0,7439.0375630185445,1424,9555,437.20079135894775,300000
F28,28,PSO-RS,14,23060443,60693.648913921534,2800.0,57893.648913921534,1323,8686,437.45115399360657,300000
F28,28,PSO-RS,15,23060444,87109.16887633079,2800.0,84309.16887633079,1218,7943,436.5372498035431,300000
F28,28,PSO-RS,16,23060445,26048.603210625748,2800.0,23248.603210625748,1208,7870,436.04556155204773,300000
F28,28,PSO-RS,17,23060446,191930.6553401562,2800.0,189130.6553401562,1504,10200,438.67744493484497,300000
F28,28,PSO-RS,18,23060447,15029.748901617577,2800.0,12229.748901617577,1362,8916,439.6547088623047,300000
F28,28,PSO-RS,19,23060448,76640.23226905626,2800.0,73840.23226905626,1410,9368,437.44193744659424,300000
F28,28,PSO-RS,20,23060449,20089.807004441915,2800.0,17289.807004441915,1324,8774,441.68100905418396,300000
F28,28,PSO-RS,21,23060450,15925.753588251091,2800.0,13125.753588251091,1454,9810,437.74052357673645,300000
F28,28,PSO-RS,22,23060451,61558.32184435922,2800.0,58758.32184435922,1267,8356,433.0058002471924,300000
