source_file,Algorithm,Function,CurveBin,__rows,MeanBest__min,MeanBest__max
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F13,37,256,41380736.29634377,44687568.6453559
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F13,38,311,39598931.678926125,41365050.433684096
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F13,39,376,37903114.2185444,39597699.320700064
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F13,40,456,37785750.5313501,37903083.13526773
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F13,41,552,2364756.000633773,37785750.110040806
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F13,42,669,495573.68086616776,2364755.6489864592
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F13,43,810,264915.6177024414,495573.5707470112
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F13,44,982,222792.79503723604,264755.8567844516
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F13,45,377,181140.3472347241,222771.34137132543
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F14,3,1,70178174.3349199,70178174.3349199
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F14,5,1,33693954.454808734,33693954.454808734
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F14,7,1,22762880.40016611,22762880.40016611
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F14,8,1,18251443.31877105,18251443.31877105
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F14,9,1,15049764.540466135,15049764.540466135
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F14,10,2,13084604.058921715,13864205.06765136
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F14,11,1,12344673.493050553,12344673.493050553
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F14,12,3,9254907.218815692,10934828.29184713
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F14,13,2,8021793.887318835,8698635.109994518
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F14,14,3,7299897.586786147,7636776.910795021
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F14,15,4,6749694.901528565,7227176.801543625
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F14,16,5,5850360.348847067,6545900.239017871
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F14,17,5,4955586.783336167,5614658.532971543
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F14,18,7,4570185.785071071,4955586.783336167
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F14,19,8,4274740.47665716,4537983.143623635
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F14,20,10,3809209.9763953104,4252321.211536811
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F14,21,12,3391092.280734568,3809209.9763953104
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F14,22,14,2719576.893187017,3228646.735468616
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F14,23,17,2198854.2450852613,2690935.8927858234
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F14,24,22,1986367.763846487,2198854.2450852613
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F14,25,25,1829448.693743968,1986367.763846487
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F14,26,31,1518128.5668958672,1822105.196750387
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F14,27,38,1317608.0240394587,1518128.5668958672
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F14,28,46,1186923.9787870331,1311025.3532782863
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F14,29,55,1004052.0900299812,1186923.9787870331
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F14,30,67,869494.2602921709,1004052.0900299812
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F14,31,81,703000.4748643102,869494.2602921709
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F14,32,98,623348.4014395805,703000.4748643102
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F14,33,119,532723.912356598,623348.4014395805
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F14,34,144,448577.40775295073,532723.912356598
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F14,35,174,396390.8819746653,447734.474913766
