source_file,Algorithm,Function,__rows,Best__sum,Best__count,Best__min,Best__max,AvgRestart__sum,AvgRestart__count,AvgRestart__min,AvgRestart__max,Best__mean,AvgRestart__mean
results\cec\cec2017_summary_results.csv,ARPSO-v4,CEC2017-F13,1,45880.187502295004,1,45880.187502295004,45880.187502295004,74.0,1,74.0,74.0,45880.187502295004,74.0
results\cec\cec2017_summary_results.csv,ARPSO-v4,CEC2017-F14,1,3237.584051070251,1,3237.584051070251,3237.584051070251,50.3,1,50.3,50.3,3237.584051070251,50.3
results\cec\cec2017_summary_results.csv,ARPSO-v4,CEC2017-F15,1,26270.35653329314,1,26270.35653329314,26270.35653329314,73.06666666666666,1,73.06666666666666,73.06666666666666,26270.35653329314,73.06666666666666
results\cec\cec2017_summary_results.csv,ARPSO-v4,CEC2017-F16,1,-352.7254933140798,1,-352.7254933140798,-352.7254933140798,71.36666666666666,1,71.36666666666666,71.36666666666666,-352.7254933140798,71.36666666666666
results\cec\cec2017_summary_results.csv,ARPSO-v4,CEC2017-F17,1,-204.6045902141659,1,-204.6045902141659,-204.6045902141659,62.0,1,62.0,62.0,-204.6045902141659,62.0
results\cec\cec2017_summary_results.csv,ARPSO-v4,CEC2017-F18,1,9624.89075847706,1,9624.89075847706,9624.89075847706,29.53333333333333,1,29.53333333333333,29.53333333333333,9624.89075847706,29.53333333333333
results\cec\cec2017_summary_results.csv,ARPSO-v4,CEC2017-F19,1,14575.753132992606,1,14575.753132992606,14575.753132992606,73.63333333333334,1,73.63333333333334,73.63333333333334,14575.753132992606,73.63333333333334
results\cec\cec2017_summary_results.csv,ARPSO-v4,CEC2017-F20,1,-429.4888697712481,1,-429.4888697712481,-429.4888697712481,73.4,1,73.4,73.4,-429.4888697712481,73.4
results\cec\cec2017_summary_results.csv,ARPSO-v4,CEC2017-F21,1,100.00000000000092,1,100.00000000000092,100.00000000000092,74.0,1,74.0,74.0,100.00000000000092,74.0
results\cec\cec2017_summary_results.csv,ARPSO-v4,CEC2017-F22,1,-6857.666524371774,1,-6857.666524371774,-6857.666524371774,56.8,1,56.8,56.8,-6857.666524371774,56.8
results\cec\cec2017_summary_results.csv,ARPSO-v4,CEC2017-F23,1,100.00000000000227,1,100.00000000000227,100.00000000000227,73.66666666666667,1,73.66666666666667,73.66666666666667,100.00000000000227,73.66666666666667
results\cec\cec2017_summary_results.csv,ARPSO-v4,CEC2017-F24,1,200.00000000000043,1,200.00000000000043,200.00000000000043,73.6,1,73.6,73.6,200.00000000000043,73.6
results\cec\cec2017_summary_results.csv,ARPSO-v4,CEC2017-F25,1,420.9947798452727,1,420.9947798452727,420.9947798452727,74.0,1,74.0,74.0,420.9947798452727,74.0
results\cec\cec2017_summary_results.csv,ARPSO-v4,CEC2017-F26,1,825.7475889075617,1,825.7475889075617,825.7475889075617,74.0,1,74.0,74.0,825.7475889075617,74.0
