source_file,Algorithm,FunctionID,Function,CurveBin,__rows,BestFitness__min,BestError__min,BestFitness__max,BestError__max
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,9,F9,54,30,1734.2255907933995,834.2255907933995,4860.213782653007,3960.213782653007
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,9,F9,55,60,1056.182585575505,156.18258557550507,4860.213782653007,3960.213782653007
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,9,F9,56,60,226.1092618772,0.0,4860.213782653007,3960.213782653007
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,9,F9,57,60,-898.3596925246075,0.0,4826.098256457652,3926.098256457652
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,9,F9,58,90,-899.0504418328892,0.0,3355.6671186174426,2455.6671186174426
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,9,F9,59,90,-899.0512876271696,0.0,3355.667118617408,2455.667118617408
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,9,F9,60,150,-2298.604740300454,0.0,3355.667118617408,2455.667118617408
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,9,F9,61,150,-5650.785143549529,0.0,3079.012030907297,2179.012030907297
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,9,F9,62,180,-6111.893987642266,0.0,794.4424370952438,0.0
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,9,F9,63,240,-6118.826370381339,0.0,-89.3026985395827,0.0
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,9,F9,64,270,-6118.827053776029,0.0,-131.81974322730457,0.0
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,9,F9,65,237,-6118.82705377616,0.0,-135.5648836210312,0.0
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,10,F10,44,30,213937.7749707249,212937.7749707249,807540.7669331001,806540.7669331001
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,10,F10,48,30,178894.28510563864,177894.28510563864,620878.0942433126,619878.0942433126
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,10,F10,50,30,178894.28510563864,177894.28510563864,413810.1699813186,412810.1699813186
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,10,F10,51,30,178894.28510563864,177894.28510563864,411449.5562312959,410449.5562312959
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,10,F10,52,30,126975.1715900377,125975.1715900377,411449.5562312959,410449.5562312959
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,10,F10,53,30,126975.1715900377,125975.1715900377,396037.8491760255,395037.8491760255
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,10,F10,54,30,126975.1715900377,125975.1715900377,384966.6598576357,383966.6598576357
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,10,F10,55,60,126975.1715900377,125975.1715900377,384966.6598576357,383966.6598576357
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,10,F10,56,60,112343.11911889176,111343.11911889176,322418.354481502,321418.354481502
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,10,F10,57,60,103121.63728206414,102121.63728206414,295063.2300653502,294063.2300653502
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,10,F10,58,90,87496.12380907671,86496.12380907671,285163.12362214865,284163.12362214865
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,10,F10,59,90,60852.94740479678,59852.94740479678,243800.61384787277,242800.61384787277
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,10,F10,60,150,32579.79261296437,31579.79261296437,238654.44742006267,237654.44742006267
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,10,F10,61,150,28387.62751362203,27387.62751362203,181976.20675736497,180976.20675736497
